# SAXS profile: number of points = 505, q_min = 0.01125, q_max = 0.31771, delta_q = 0.000608055555555556
# offset = 0.00000000000000, scaling c = 2.00922416143178e-05, Chi = 2.53408885002136
#  q       exp_intensity   model_intensity
0.01125    711.58700000    676.91509667   
0.01186    693.08900000    674.03573386   
0.01247    688.16900000    670.98174695   
0.01307    690.18800000    667.90127736   
0.01368    696.17100000    664.57406207   
0.01429    684.25200000    661.14468311   
0.01490    682.83400000    657.60257185   
0.01551    678.37500000    653.88585343   
0.01612    671.21300000    650.09523052   
0.01672    663.31600000    646.20742751   
0.01733    666.13900000    642.14931440   
0.01794    657.76600000    638.07475560   
0.01855    649.94800000    633.75762995   
0.01916    653.19400000    629.37482304   
0.01976    638.29400000    624.93316726   
0.02037    639.46300000    620.31326773   
0.02098    622.64400000    615.62576856   
0.02159    624.35900000    610.77924226   
0.02220    618.54100000    605.87631933   
0.02280    611.24800000    600.95092426   
0.02341    599.57900000    595.84427743   
0.02402    596.38600000    590.68471514   
0.02463    590.03800000    585.39111026   
0.02524    587.65600000    580.04627302   
0.02584    579.59300000    574.71136764   
0.02645    574.44400000    569.19821988   
0.02706    569.63100000    563.64222686   
0.02767    560.83200000    557.98462643   
0.02828    556.14600000    552.27967415   
0.02889    544.46600000    546.51891431   
0.02949    541.98800000    540.77659037   
0.03010    531.70900000    534.90720556   
0.03071    529.12500000    528.96637353   
0.03132    521.10900000    523.04495445   
0.03193    517.34800000    517.02679656   
0.03254    508.46200000    510.94903084   
0.03314    503.81500000    504.94974203   
0.03375    494.96700000    498.80517378   
0.03436    490.96000000    492.63123582   
0.03497    484.91300000    486.43690224   
0.03558    477.14300000    480.20309351   
0.03618    472.16700000    474.05986665   
0.03679    463.04000000    467.79147135   
0.03740    457.89900000    461.50706131   
0.03801    451.62900000    455.21398349   
0.03862    442.15400000    448.90530260   
0.03922    435.47800000    442.69701793   
0.03983    429.13800000    436.42945526   
0.04044    423.27000000    430.11182853   
0.04105    416.40200000    423.79488485   
0.04166    412.34100000    417.48482831   
0.04226    402.22800000    411.28463510   
0.04287    397.83000000    404.98964034   
0.04348    390.86200000    398.71212179   
0.04409    384.39900000    392.44369512   
0.04470    379.83600000    386.20045232   
0.04530    373.27700000    380.07712676   
0.04591    365.43100000    373.86960759   
0.04652    360.93100000    367.69842421   
0.04713    352.10100000    361.58470048   
0.04774    347.81200000    355.46770390   
0.04835    340.16000000    349.38218186   
0.04895    334.71000000    343.41942027   
0.04956    329.84800000    337.41239115   
0.05017    322.89200000    331.42860990   
0.05078    317.32000000    325.49226368   
0.05139    314.37900000    319.60089039   
0.05199    306.98600000    313.83105045   
0.05260    300.93900000    308.03945931   
0.05321    296.83900000    302.27656108   
0.05382    290.65700000    296.59885776   
0.05443    285.98100000    290.94683320   
0.05504    279.44000000    285.32535769   
0.05564    275.51000000    279.87668380   
0.05625    266.83100000    274.37479914   
0.05686    263.12100000    268.92705915   
0.05747    257.42900000    263.55202880   
0.05808    252.40800000    258.21147033   
0.05868    248.50500000    253.04196111   
0.05929    243.50200000    247.86163953   
0.05990    238.53600000    242.70561152   
0.06051    233.61800000    237.63562476   
0.06112    229.88000000    232.60313293   
0.06173    224.96700000    227.65485621   
0.06233    220.62800000    222.84547559   
0.06294    217.04100000    218.00399844   
0.06355    210.77700000    213.25980821   
0.06416    207.60400000    208.57826258   
0.06477    203.20100000    203.95407720   
0.06537    197.58600000    199.47279540   
0.06598    195.17200000    194.95922984   
0.06659    190.05400000    190.55344602   
0.06720    185.54600000    186.18808017   
0.06781    180.52600000    181.89808122   
0.06841    178.02000000    177.75410696   
0.06902    172.86100000    173.59963774   
0.06963    170.35200000    169.53429334   
0.07024    165.96900000    165.51323918   
0.07085    161.74100000    161.56046580   
0.07146    158.02600000    157.69240863   
0.07206    154.63600000    153.92596709   
0.07267    150.91500000    150.19770228   
0.07328    147.24300000    146.52046976   
0.07389    143.70400000    142.91913130   
0.07450    139.56100000    139.39223580   
0.07510    137.40300000    135.96072903   
0.07571    132.98200000    132.56335551   
0.07632    130.63300000    129.22302624   
0.07693    126.76300000    125.93439333   
0.07754    124.35900000    122.75409583   
0.07814    120.77000000    119.64874943   
0.07875    118.40800000    116.57292705   
0.07936    114.61600000    113.55885062   
0.07997    112.16300000    110.58765332   
0.08058    109.25200000    107.71448969   
0.08118    107.11000000    104.92327473   
0.08179    103.21900000    102.16755405   
0.08240    101.63800000    99.46565961    
0.08301    98.35380000     96.79965887    
0.08362    95.74350000     94.22987504    
0.08422    93.33150000     91.73680509    
0.08483    91.17190000     89.26291961    
0.08544    88.71120000     86.86626656    
0.08605    87.01300000     84.49357852    
0.08666    84.20930000     82.20524668    
0.08727    81.62190000     79.95665136    
0.08787    79.58190000     77.79413654    
0.08848    77.23500000     75.66464482    
0.08909    75.84230000     73.57450918    
0.08970    72.73920000     71.54915659    
0.09031    71.30110000     69.56616996    
0.09091    68.64660000     67.65601849    
0.09152    66.82310000     65.78320552    
0.09213    65.02960000     63.93924381    
0.09274    63.14690000     62.16428514    
0.09335    61.74360000     60.42643836    
0.09395    59.65850000     58.74922037    
0.09456    58.66780000     57.11254302    
0.09517    56.50300000     55.50217123    
0.09578    54.83820000     53.94992271    
0.09639    53.11300000     52.43653856    
0.09699    51.40330000     50.97287726    
0.09760    50.29720000     49.55168376    
0.09821    48.42190000     48.15428015    
0.09882    47.48420000     46.80006802    
0.09943    46.03120000     45.49554425    
0.10004    44.78420000     44.20868867    
0.10064    43.29170000     42.99943659    
0.10125    42.48550000     41.79439563    
0.10186    41.10300000     40.62444076    
0.10247    40.15570000     39.50276650    
0.10308    38.62080000     38.39700730    
0.10368    37.64920000     37.35656709    
0.10429    36.69640000     36.32412320    
0.10490    35.78980000     35.31963735    
0.10551    34.77870000     34.36132549    
0.10612    33.99200000     33.41720248    
0.10673    32.71910000     32.51269601    
0.10733    31.74750000     31.64849750    
0.10794    31.12290000     30.79109038    
0.10855    30.11950000     29.97778449    
0.10916    29.49370000     29.17693455    
0.10977    28.61250000     28.40808841    
0.11037    28.10770000     27.67709749    
0.11098    27.11790000     26.94988167    
0.11159    26.33510000     26.26393004    
0.11220    25.55380000     25.58878948    
0.11281    25.02790000     24.93922986    
0.11341    24.06330000     24.32478459    
0.11402    23.65810000     23.71538584    
0.11463    23.04100000     23.13677271    
0.11524    22.22010000     22.57114619    
0.11585    21.59590000     22.02554070    
0.11646    21.19400000     21.50375720    
0.11706    20.29870000     21.00342796    
0.11767    20.01320000     20.51904986    
0.11828    19.53450000     20.04776854    
0.11889    19.34360000     19.59192272    
0.11950    18.84650000     19.16027758    
0.12010    18.19790000     18.74255308    
0.12071    17.98700000     18.33934954    
0.12132    17.27640000     17.94878526    
0.12193    17.34000000     17.57165223    
0.12254    16.71220000     17.21282366    
0.12314    16.58070000     16.86742141    
0.12375    16.25740000     16.53280716    
0.12436    15.85000000     16.21022610    
0.12497    15.55800000     15.89777892    
0.12558    15.08130000     15.60196170    
0.12618    14.90880000     15.31723789    
0.12679    14.58040000     15.04035516    
0.12740    14.50950000     14.77628508    
0.12801    14.19190000     14.51661626    
0.12862    13.90730000     14.27269325    
0.12923    13.42420000     14.03439595    
0.12983    13.58890000     13.81072106    
0.13044    13.05210000     13.59171120    
0.13105    13.22560000     13.37764216    
0.13166    12.70590000     13.17556064    
0.13226    12.45320000     12.98347024    
0.13287    12.72800000     12.79355818    
0.13348    12.51870000     12.61254337    
0.13409    12.37230000     12.43548307    
0.13470    12.16580000     12.26875003    
0.13531    12.01110000     12.10554822    
0.13591    11.74230000     11.94973559    
0.13652    11.66460000     11.79898118    
0.13713    11.58850000     11.65264596    
0.13774    11.46100000     11.51151408    
0.13835    11.26760000     11.37479181    
0.13895    11.16340000     11.24481470    
0.13956    11.13670000     11.11783855    
0.14017    10.89570000     10.99324789    
0.14078    10.67330000     10.87333250    
0.14139    10.76530000     10.75843605    
0.14200    10.60230000     10.64444495    
0.14260    10.47790000     10.53760827    
0.14321    10.41540000     10.43069739    
0.14382    10.29310000     10.32820429    
0.14443    10.27030000     10.22772518    
0.14503    10.06550000     10.13041288    
0.14564    9.93929000      10.03655147    
0.14625    10.02080000     9.94305952     
0.14686    9.93705000      9.85174375     
0.14747    9.75669000      9.76301605     
0.14808    9.76724000      9.67653203     
0.14868    9.57309000      9.59294912     
0.14929    9.63299000      9.50930427     
0.14990    9.40764000      9.42816122     
0.15051    9.39773000      9.34802903     
0.15112    9.22585000      9.26876210     
0.15172    9.06295000      9.19265126     
0.15233    9.02589000      9.11730489     
0.15294    9.12968000      9.04182285     
0.15355    8.88691000      8.96798769     
0.15416    8.96343000      8.89573561     
0.15476    8.91044000      8.82491063     
0.15537    8.78733000      8.75379016     
0.15598    8.70767000      8.68417398     
0.15659    8.79918000      8.61498191     
0.15720    8.46766000      8.54621025     
0.15781    8.53224000      8.47820560     
0.15841    8.47157000      8.41299734     
0.15902    8.32373000      8.34618702     
0.15963    8.28300000      8.28035629     
0.16024    8.18718000      8.21580117     
0.16084    8.21341000      8.15207012     
0.16145    7.96111000      8.08789143     
0.16206    8.13686000      8.02484528     
0.16267    7.89848000      7.96169538     
0.16328    8.01300000      7.89895108     
0.16389    7.80197000      7.83748843     
0.16449    7.91662000      7.77681072     
0.16510    7.69568000      7.71538926     
0.16571    7.75874000      7.65466009     
0.16632    7.60232000      7.59503812     
0.16693    7.63593000      7.53495170     
0.16753    7.58510000      7.47648285     
0.16814    7.54301000      7.41804877     
0.16875    7.49873000      7.35949836     
0.16936    7.35589000      7.30133735     
0.16997    7.47154000      7.24415145     
0.17057    7.29795000      7.18785961     
0.17118    7.29230000      7.13089742     
0.17179    7.06499000      7.07517285     
0.17240    7.12406000      7.01924299     
0.17301    6.98761000      6.96358097     
0.17361    6.95028000      6.91023995     
0.17422    6.94719000      6.85561607     
0.17483    6.70725000      6.80147691     
0.17544    6.78359000      6.74847516     
0.17605    6.57342000      6.69509969     
0.17666    6.57105000      6.64249385     
0.17726    6.61727000      6.59168937     
0.17787    6.42567000      6.53985821     
0.17848    6.36786000      6.48869053     
0.17909    6.58921000      6.43840202     
0.17969    6.43457000      6.38903002     
0.18030    6.44380000      6.33929151     
0.18091    6.41343000      6.29057955     
0.18152    6.37594000      6.24184569     
0.18213    6.24523000      6.19340246     
0.18274    6.03834000      6.14622285     
0.18334    6.14566000      6.09973343     
0.18395    6.01418000      6.05334186     
0.18456    5.97218000      6.00719481     
0.18517    5.88562000      5.96133527     
0.18578    5.89112000      5.91654230     
0.18638    5.93436000      5.87250914     
0.18699    5.69637000      5.82805121     
0.18760    5.79755000      5.78480746     
0.18821    5.65687000      5.74140026     
0.18882    5.57567000      5.69858798     
0.18942    5.62440000      5.65735823     
0.19003    5.66884000      5.61519497     
0.19064    5.60084000      5.57441113     
0.19125    5.57641000      5.53340612     
0.19186    5.53268000      5.49273629     
0.19246    5.52059000      5.45381136     
0.19307    5.40808000      5.41406089     
0.19368    5.40933000      5.37484992     
0.19429    5.26087000      5.33640086     
0.19490    5.30166000      5.29791041     
0.19551    5.12842000      5.25996846     
0.19611    5.14933000      5.22327595     
0.19672    4.94100000      5.18610462     
0.19733    4.97728000      5.14963444     
0.19794    5.05528000      5.11303118     
0.19854    5.05666000      5.07762404     
